               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10069,            0.051714,            0.041167,             0.68897,             0.11682,            0.026733,           0.0070152,            0.075594,            0.042742,            0.030057,            0.070566,           0.0032704,           0.0032704
                   1,            0.078215,             0.04869,            0.027464,             0.63279,             0.25239,             0.13181,            0.039352,            0.068169,            0.033915,            0.024793,            0.040435,            0.006473,            0.006473
                   2,            0.075191,            0.047726,            0.024628,             0.49532,              0.2947,             0.16647,            0.056605,            0.075584,            0.034808,            0.020688,            0.010173,           0.0095436,           0.0095436
                   3,             0.06972,            0.046434,            0.019964,             0.26636,             0.46998,             0.31636,             0.10806,            0.059459,            0.034049,            0.017003,            0.009406,            0.009406,            0.009406
                   4,            0.063914,            0.045538,            0.017189,             0.54147,             0.44041,             0.36153,             0.13747,            0.056127,             0.03275,            0.017577,            0.009406,            0.009406,            0.009406
                   5,            0.061188,            0.048184,            0.014829,             0.59494,             0.40119,             0.40482,             0.16715,            0.051997,            0.032865,            0.014612,            0.009208,            0.009208,            0.009208
                   6,             0.05871,            0.045918,            0.014072,             0.63737,             0.47463,              0.4517,             0.18747,            0.052563,            0.033228,            0.014333,             0.00901,             0.00901,             0.00901
                   7,            0.057687,            0.046056,            0.013157,               0.646,             0.46639,             0.46739,             0.20971,            0.049655,            0.031621,            0.013299,            0.008812,            0.008812,            0.008812
                   8,            0.055915,            0.044587,            0.012543,             0.70535,             0.48851,             0.50215,             0.19533,             0.05089,            0.031282,            0.012466,            0.008614,            0.008614,            0.008614
                   9,            0.055373,            0.043947,            0.012083,             0.73499,             0.44564,             0.49924,             0.21512,            0.049374,            0.032156,            0.012942,            0.008416,            0.008416,            0.008416
                  10,            0.053391,            0.043926,            0.011273,             0.64215,             0.44372,             0.46976,              0.2033,            0.050484,            0.032454,            0.015112,            0.008218,            0.008218,            0.008218
                  11,            0.053156,            0.045336,            0.011022,             0.73046,             0.47988,             0.51032,             0.23278,            0.047497,            0.031722,            0.011802,             0.00802,             0.00802,             0.00802
                  12,            0.052541,            0.044049,            0.010272,             0.79546,             0.47828,             0.52195,             0.23883,            0.047974,            0.031666,            0.011393,            0.007822,            0.007822,            0.007822
                  13,            0.051387,            0.043473,            0.010116,             0.68987,             0.50926,              0.5017,             0.23021,              0.0488,            0.032019,            0.011369,            0.007624,            0.007624,            0.007624
                  14,            0.050465,            0.044275,            0.010099,             0.77602,             0.52962,             0.55166,             0.25075,            0.047169,             0.03193,            0.011482,            0.007426,            0.007426,            0.007426
                  15,             0.05066,            0.043991,           0.0098126,             0.77151,             0.45908,              0.5272,             0.25521,            0.047733,            0.031943,            0.011115,            0.007228,            0.007228,            0.007228
                  16,            0.049429,            0.042765,            0.009223,             0.83478,             0.49656,             0.59066,             0.28017,             0.04766,             0.03152,            0.010459,             0.00703,             0.00703,             0.00703
                  17,            0.050255,            0.044388,           0.0089963,              0.6854,             0.58647,             0.60971,             0.29726,            0.048309,            0.032071,            0.011148,            0.006832,            0.006832,            0.006832
                  18,              0.0498,            0.042078,           0.0089903,             0.63481,             0.61132,             0.59129,             0.27873,            0.047626,            0.032345,            0.011126,            0.006634,            0.006634,            0.006634
                  19,            0.049305,            0.041783,           0.0085717,             0.62951,             0.61946,              0.6214,             0.29767,            0.047562,            0.031931,             0.01183,            0.006436,            0.006436,            0.006436
                  20,            0.048356,            0.042523,           0.0084417,             0.68889,             0.64421,             0.66051,             0.29774,            0.047789,            0.031976,            0.010906,            0.006238,            0.006238,            0.006238
                  21,            0.047958,            0.042088,           0.0082049,             0.74829,             0.62008,             0.65423,             0.29682,            0.046721,            0.031477,            0.010714,             0.00604,             0.00604,             0.00604
                  22,             0.04823,             0.04321,           0.0077273,             0.75251,              0.6654,              0.6743,             0.32995,            0.046611,              0.0313,            0.010598,            0.005842,            0.005842,            0.005842
                  23,            0.048082,            0.042448,              0.0079,             0.68626,             0.69653,              0.6555,             0.30702,            0.046631,            0.031609,            0.010906,            0.005644,            0.005644,            0.005644
                  24,            0.047541,            0.041558,           0.0073715,             0.77293,             0.63478,             0.69141,             0.32733,            0.047508,            0.031662,            0.010722,            0.005446,            0.005446,            0.005446
                  25,            0.046604,            0.041539,            0.007349,              0.7471,              0.6841,             0.67831,             0.32315,            0.047135,            0.031757,            0.011374,            0.005248,            0.005248,            0.005248
                  26,            0.047794,            0.042467,           0.0070854,             0.76055,             0.65048,             0.69763,             0.36141,            0.046744,            0.031909,           0.0098506,             0.00505,             0.00505,             0.00505
                  27,            0.047167,            0.041817,           0.0066709,             0.74112,             0.64493,             0.70127,             0.31383,            0.046991,             0.03194,           0.0096306,            0.004852,            0.004852,            0.004852
                  28,            0.047121,            0.042695,           0.0063549,             0.73772,             0.67209,             0.68785,              0.3416,            0.045818,            0.031825,           0.0095152,            0.004654,            0.004654,            0.004654
                  29,            0.045976,            0.040508,           0.0065272,             0.73978,             0.65824,             0.67541,              0.3321,            0.046687,            0.031519,           0.0094336,            0.004456,            0.004456,            0.004456
                  30,            0.046001,            0.041418,           0.0064292,             0.74682,             0.67551,             0.67866,             0.32994,            0.046519,            0.031319,           0.0098382,            0.004258,            0.004258,            0.004258
                  31,            0.045524,            0.040722,           0.0061963,             0.73057,             0.59924,             0.67798,             0.33578,            0.046415,            0.032042,           0.0097996,             0.00406,             0.00406,             0.00406
                  32,            0.045654,            0.040905,           0.0062033,             0.71016,             0.64116,             0.67952,             0.33727,             0.04692,            0.031497,           0.0095761,            0.003862,            0.003862,            0.003862
                  33,              0.0454,            0.040495,           0.0059052,              0.7467,             0.64786,             0.70536,             0.36595,            0.046211,            0.032108,             0.01019,            0.003664,            0.003664,            0.003664
                  34,            0.044719,            0.039874,           0.0056513,             0.74701,             0.64724,             0.67503,             0.31903,            0.047524,            0.031785,            0.010399,            0.003466,            0.003466,            0.003466
                  35,            0.044699,            0.041533,           0.0056811,              0.7594,             0.62798,             0.69941,             0.33656,            0.046128,            0.031945,            0.010532,            0.003268,            0.003268,            0.003268
                  36,            0.044157,            0.040461,           0.0054291,             0.76557,             0.65052,             0.70704,             0.32795,             0.04624,            0.031764,            0.010429,             0.00307,             0.00307,             0.00307
